identifier,dataInsertedBy_identifier,description,governs_identifier,satisfies_identifier,wasGeneratedBy_identifier
EXE-LLR-1,TurnstileIngestion-Low Level Requirements,Executive shall spawn Input Thread on powerup.,ExecutiveThread,,
EXE-LLR-2,TurnstileIngestion-Low Level Requirements,Executive shall spawn Output Thread on powerup.,ExecutiveThread,,
EXE-LLR-3,TurnstileIngestion-Low Level Requirements,Executive shall print asingle '.' character to the console every second when running.,ExecutiveThread,,
IN-LLR-1,TurnstileIngestion-Low Level Requirements,Input Thread shall initialize the parkcount to 0 on powerup.,InputThread,,
IN-LLR-2:v1,TurnstileIngestion-Low Level Requirements,Input Thread shall check for a incoming UDP message on port 62000.,InputThread,HLR-1:v1,
IN-LLR-2:v1,TurnstileIngestion-Low Level Requirements,Input Thread shall check for a incoming UDP message on port 62000.,InputThread,HLR-2:v1,
IN-LLR-3:v1,TurnstileIngestion-Low Level Requirements,"Input Thread shall add the delta value received by the UDP to the parkcount and send the updated parkcount to the Output Thread when a valid UDP message is received,and the parkcount range is not exceed.",InputThread,HLR-1:v1,
IN-LLR-3:v1,TurnstileIngestion-Low Level Requirements,"Input Thread shall add the delta value received by the UDP to the parkcount and send the updated parkcount to the Output Thread when a valid UDP message is received,and the parkcount range is not exceed.",InputThread,HLR-2:v1,
IN-LLR-4,TurnstileIngestion-Low Level Requirements,Input Thread shall limit parkcount to between 0 and 1500.,InputThread,,
IN-LLR-5,TurnstileIngestion-Low Level Requirements,Input Thread shall print 'Invalid Message' to the console when a invalid UDP message is received.,InputThread,,
IN-LLR-6,TurnstileIngestion-Low Level Requirements,"Input Thread shall print 'Limit Exceeded'' to the console when a valid UDP message is received,and the parkcount range is exceed.",InputThread,,
OUT-LLR-1,TurnstileIngestion-Low Level Requirements,Output Thread shall initialize the parkcount to 0 on powerup.,OutputThread,,
OUT-LLR-2:v1,TurnstileIngestion-Low Level Requirements,Output Thread shall broadcast a UDP message on port 62001 with the parkcount every second.,InputThread,HLR-3:v1,
IN-LLR-2:v2,TurnstileIngestion-Low Level Requirements,Input Thread shall check for anincoming UDP message on port 62000.,InputThread,HLR-1:v2,
IN-LLR-2:v2,TurnstileIngestion-Low Level Requirements,Input Thread shall check for anincoming UDP message on port 62000.,InputThread,HLR-2:v2,
IN-LLR-3:v2,TurnstileIngestion-Low Level Requirements,"Input Thread shall add the delta value received by the UDP to the parkcount and send the updated parkcount to the Output Thread when a valid UDP message is received,and the parkcount range is not exceed.",InputThread,HLR-1:v2,
IN-LLR-3:v2,TurnstileIngestion-Low Level Requirements,"Input Thread shall add the delta value received by the UDP to the parkcount and send the updated parkcount to the Output Thread when a valid UDP message is received,and the parkcount range is not exceed.",InputThread,HLR-2:v2,
OUT-LLR-2:v2,TurnstileIngestion-Low Level Requirements,Output Thread shall broadcast a UDP message on port 62001 with the parkcount every second.,OutputThread,HLR-3:v2,
